Tim Burton  ,  director (4 episodes 2022) ,  vampire , flexitarian , 
132.Armășescu Fanurie  ,  figuran ,  human , vegetarian , 
132.Buhuș Pavel  ,  figuran ,  werewolf , anything , 
132.Balanici Benone  ,  figuran ,  mermaid , anything , 
132.Bercu David  ,  figuran ,  human , flexitarian , 
132.Armășescu Lucretiu  ,  figuran ,  mermaid , flexitarian , 
132.Asachi Aurica  ,  figuran ,  seer , vegetarian , 
132.Stanescu Cosmin  ,  figuran ,  werewolf , anything , 
132.Albulescu Anca  ,  figuran ,  werewolf , anything , 
132.Baconski  Ileana  ,  figuran ,  werewolf , anything , 
132.Baconsky Iustin  ,  figuran ,  vampire , vegetarian , 
132.Adameșteanu Denis  ,  figuran ,  werewolf , vegetarian , 
132.Bîrloiu Marius  ,  figuran ,  werewolf , flexitarian , 
132.Băsescu  Apostol  ,  figuran ,  seer , anything , 
132.Braghiș Adam  ,  figuran ,  vampire , anything , 
132.Botnaru Alex  ,  figuran ,  mermaid , flexitarian , 
132.Buhuș Gratiela  ,  figuran ,  werewolf , anything , 
132.Bârloiu Magdalena  ,  figuran ,  mermaid , vegetarian , 
132.Bordea Anisoara  ,  figuran ,  human , flexitarian , 
132.Almășan Teodor  ,  figuran ,  seer , vegetarian , 
132.Barcianu  Decebal  ,  figuran ,  seer , vegetarian , 
132.Arnăutu Benedict  ,  figuran ,  seer , flexitarian , 
132.Bărbuceanu Aurica  ,  figuran ,  seer , flexitarian , 
132.Bălănescu Doina  ,  figuran ,  vampire , vegetarian , 
132.Almaș Bujor  ,  figuran ,  vampire , vegetarian , 
132.Bătrîneanu Petre  ,  figuran ,  seer , vegetarian , 
132.Barzin Angelica  ,  figuran ,  seer , vegetarian , 
132.Belimace Aniela  ,  figuran ,  mermaid , flexitarian , 
132.Bozga Matei  ,  figuran ,  werewolf , vegetarian , 
132.Asachi Dochia  ,  figuran ,  vampire , vegetarian , 
132.Bozga Georgeta  ,  figuran ,  seer , flexitarian , 
132.Bănulescu Bujor  ,  figuran ,  werewolf , anything , 
132.Brudașcu Oscar  ,  figuran ,  human , flexitarian , 
132.Bărboianu Geanina  ,  figuran ,  human , flexitarian , 
132.Bârlădeanu Luchian  ,  figuran ,  vampire , vegetarian , 
132.Bârloiu Decebal  ,  figuran ,  werewolf , vegetarian , 
132.Borăscu Andreea  ,  figuran ,  seer , vegetarian , 
132.Băsescu  Ioachim  ,  figuran ,  human , flexitarian , 
132.Botnari Valeriu  ,  figuran ,  seer , vegetarian , 
132.Andronic Dumitru  ,  figuran ,  mermaid , flexitarian , 
132.Bîrloiu Sebastian  ,  figuran ,  vampire , flexitarian , 
132.Andreoiu Adrian  ,  figuran ,  human , anything , 
132.Bizău Gabriela  ,  figuran ,  human , vegetarian , 
132.Albulescu Benone  ,  figuran ,  mermaid , vegetarian , 
132.Bădărău Eugenia  ,  figuran ,  seer , anything , 
132.Bratu Dumitru  ,  figuran ,  werewolf , vegetarian , 
132.Apostu Valeriu  ,  figuran ,  werewolf , anything , 
132.Bîrloiu Andreea  ,  figuran ,  vampire , anything , 
132.Ionescu Gabriel  ,  figuran ,  vampire , vegetarian , 
132.Argeșanu Gheorghe  ,  figuran ,  seer , flexitarian , 
132.Barbu Amalia  ,  figuran ,  mermaid , flexitarian , 
132.Buhagiar Costel  ,  figuran ,  seer , anything , 
132.Ardeleanu David  ,  figuran ,  vampire , flexitarian , 
132.Bozgă Cristofor  ,  figuran ,  vampire , vegetarian , 
132.Athanasiu Teodosie  ,  figuran ,  human , vegetarian , 
132.Bonciu Dan  ,  figuran ,  vampire , anything , 
132.Alexa  Adrian  ,  figuran ,  human , anything , 
132.Brezeanu Valentin  ,  figuran ,  seer , flexitarian , 
132.Bănică Gratiela  ,  figuran ,  human , anything , 
132.Negoita Zahari  ,  figuran ,  werewolf , anything , 
132.Aman Ionuț  ,  figuran ,  human , anything , 
132.Grigorescu Sorina  ,  figuran ,  werewolf , vegetarian , 
132.Buhuș Florica  ,  figuran ,  seer , vegetarian , 
132.Bujo Anisoara  ,  figuran ,  werewolf , flexitarian , 
132.Bechet  Madalin  ,  figuran ,  vampire , vegetarian , 
132.Brâncuși  Laur  ,  figuran ,  human , flexitarian , 
132.Balanici Ilarie  ,  figuran ,  seer , anything , 
132.Athanasiu Grigore  ,  figuran ,  seer , flexitarian , 
132.Agaparian Manole  ,  figuran ,  mermaid , anything , 
132.Alexe Anica  ,  figuran ,  human , vegetarian , 
132.Băsescu  Anca  ,  figuran ,  werewolf , vegetarian , 
132.Alexe Flavia  ,  figuran ,  vampire , flexitarian , 
132.Andronic Lucretiu  ,  figuran ,  mermaid , flexitarian , 
132.Brătescu Eusebiu  ,  figuran ,  seer , vegetarian , 
132.Boteanu Damian  ,  figuran ,  human , vegetarian , 
132.Almășan Benjamin  ,  figuran ,  vampire , flexitarian , 
132.Băsescu  Matei  ,  figuran ,  human , flexitarian , 
132.Bănățeanu Eduard  ,  figuran ,  seer , vegetarian , 
132.Argeșanu Brandusa  ,  figuran ,  mermaid , flexitarian , 
132.Brătescu Anisoara  ,  figuran ,  werewolf , anything , 
132.Anghelache Camelia  ,  figuran ,  vampire , vegetarian , 
132.Brumaru Martin  ,  figuran ,  werewolf , vegetarian , 
132.Popescu Iurie  ,  figuran ,  vampire , anything , 
132.Andronic Laur  ,  figuran ,  vampire , anything , 
132.Aldulescu Aniela  ,  figuran ,  mermaid , flexitarian , 
132.Antoci Ancuta  ,  figuran ,  human , vegetarian , 
132.Bega  Anisoara  ,  figuran ,  vampire , anything , 
132.Bălan Anghel  ,  figuran ,  vampire , flexitarian , 
132.Aldulescu Spiridon  ,  figuran ,  mermaid , vegetarian , 
132.Botezan Vasile  ,  figuran ,  werewolf , flexitarian , 
132.Breban Angelica  ,  figuran ,  werewolf , flexitarian , 
132.Apostoleanu Benone  ,  figuran ,  mermaid , vegetarian , 
132.Basarabeanu Denis  ,  figuran ,  mermaid , vegetarian , 
132.Baconsky Ioana  ,  figuran ,  vampire , anything , 
132.Boteanu Basarab  ,  figuran ,  human , anything , 
132.Stanescu Ghita  ,  figuran ,  vampire , flexitarian , 
132.Adamache Efrem  ,  figuran ,  vampire , anything , 
132.Bîrloiu Apostol  ,  figuran ,  werewolf , vegetarian , 
132.Apostoleanu Anton  ,  figuran ,  mermaid , vegetarian , 
132.Brateș Felix  ,  figuran ,  vampire , vegetarian , 
132.Brenduș Filip  ,  figuran ,  seer , flexitarian , 
132.Băloșescu Cazimir  ,  figuran ,  werewolf , vegetarian , 
132.Aman Augustina  ,  figuran ,  werewolf , anything , 
132.Besoiu Cecilia  ,  figuran ,  vampire , vegetarian , 
132.Botezan Alin  ,  figuran ,  vampire , flexitarian , 
132.Bechet  Bartolomeu  ,  figuran ,  vampire , vegetarian , 
132.Alifantis Dan  ,  figuran ,  mermaid , anything , 
132.Bazon Stefan  ,  figuran ,  human , flexitarian , 
132.Brateș Adam  ,  figuran ,  human , flexitarian , 
132.Almășan Aurora  ,  figuran ,  werewolf , flexitarian , 
132.Andreoiu Andreea  ,  figuran ,  seer , flexitarian , 
132.Brediceanu Gheorghe  ,  figuran ,  human , anything , 
132.Botnaru Anca  ,  figuran ,  human , vegetarian , 
132.Popescu Ioachim  ,  figuran ,  seer , flexitarian , 
132.Brânzeu Doina  ,  figuran ,  werewolf , anything , 
132.Bârloiu Ciprian  ,  figuran ,  seer , flexitarian , 
132.Bizău Laur  ,  figuran ,  seer , vegetarian , 
132.Berghianu Dionisie  ,  figuran ,  seer , anything , 
132.Bănică Mariana  ,  figuran ,  seer , flexitarian , 
132.Bătrâneanu Lacramioara  ,  figuran ,  vampire , anything , 
132.Basarabeanu Oscar  ,  figuran ,  vampire , anything , 
132.Avramescu Anton  ,  figuran ,  vampire , vegetarian , 
132.Arnautu Camil  ,  figuran ,  vampire , anything , 
132.Alexandrescu Martin  ,  figuran ,  mermaid , vegetarian , 
132.Alexi Fanurie  ,  figuran ,  werewolf , flexitarian , 
132.Bârlădeanu Dionisie  ,  figuran ,  werewolf , vegetarian , 
132.Bodiu Loredana  ,  figuran ,  werewolf , vegetarian , 
132.Ardeleanu Andrei  ,  figuran ,  mermaid , flexitarian , 
132.Banciu  Irina  ,  figuran ,  seer , flexitarian , 
132.Berghianu Stefan  ,  figuran ,  werewolf , vegetarian , 
132.Brateș Leon  ,  figuran ,  mermaid , anything , 
132.Bănulescu Mihail  ,  figuran ,  werewolf , vegetarian , 
132.Bosânceanu Liviu  ,  figuran ,  seer , anything , 
132.Bărboianu Vasile  ,  figuran ,  human , anything , 
132.Bozgă Lucretiu  ,  figuran ,  seer , flexitarian , 
132.Brâncoveanu  Laurentiu  ,  figuran ,  human , anything , 
132.Botean Emilian  ,  figuran ,  werewolf , flexitarian , 
132.Bodescu Laura  ,  figuran ,  vampire , flexitarian , 
132.Bălțat Liviu  ,  figuran ,  human , flexitarian , 
132.Buhagiar Maria  ,  figuran ,  werewolf , vegetarian , 
132.Budescu Geta  ,  figuran ,  mermaid , flexitarian , 
132.Argeșanu Ion  ,  figuran ,  mermaid , vegetarian , 
132.Badea Cosmin  ,  figuran ,  seer , vegetarian , 
132.Begu Adriana  ,  figuran ,  seer , anything , 
132.Angelescu Eugen  ,  figuran ,  werewolf , vegetarian , 
132.Bârcă Petre  ,  figuran ,  human , flexitarian , 
132.Albulescu Anisoara  ,  figuran ,  werewolf , flexitarian , 
132.Bichineț Denisa  ,  figuran ,  mermaid , anything , 
132.Borcea Razvan  ,  figuran ,  mermaid , flexitarian , 
132.Botezan Efrem  ,  figuran ,  werewolf , vegetarian , 
132.Barzin Adam  ,  figuran ,  vampire , flexitarian , 
132.Bengescu Benjamin  ,  figuran ,  mermaid , flexitarian , 
132.Bătrîneanu Mihai  ,  figuran ,  werewolf , anything , 
132.Bosânceanu Aurelia  ,  figuran ,  mermaid , anything , 
132.Bănulescu Cristina  ,  figuran ,  human , vegetarian , 
132.Brediceanu Gratiela  ,  figuran ,  human , anything , 
132.Bereș Filoftea  ,  figuran ,  human , vegetarian , 
132.Bărbuceanu Mariana  ,  figuran ,  seer , vegetarian , 
132.Agârbiceanu Teodosie  ,  figuran ,  human , anything , 
132.Brânzeu Lucretia  ,  figuran ,  human , vegetarian , 
132.Bodescu Mariana  ,  figuran ,  mermaid , anything , 
132.Adoc Dionisie  ,  figuran ,  mermaid , anything , 
132.Bujo Augustina  ,  figuran ,  vampire , flexitarian , 
132.Bogza Pavel  ,  figuran ,  vampire , anything , 
132.Armășescu Basarab  ,  figuran ,  human , anything , 
132.Bodescu Laura  ,  figuran ,  human , flexitarian , 
132.Brâncuși  Dochia  ,  figuran ,  werewolf , anything , 
132.Aman Iacob  ,  figuran ,  mermaid , flexitarian , 
132.Adamache Ionuț  ,  figuran ,  human , flexitarian , 
132.Borcea Loredana  ,  figuran ,  seer , anything , 
132.Adamache Ruxandra  ,  figuran ,  werewolf , anything , 
132.Arnăutu Nicolai  ,  figuran ,  human , vegetarian , 
132.Antoci Grigore  ,  figuran ,  werewolf , anything , 
132.Boroianu Aurelia  ,  figuran ,  mermaid , flexitarian , 
132.Bârlădeanu Stefan  ,  figuran ,  werewolf , vegetarian , 
132.Dumitrescu Pavel  ,  figuran ,  seer , flexitarian , 
132.Baconski  Dimitrie  ,  figuran ,  human , anything , 
132.Boștină Vladimir  ,  figuran ,  mermaid , vegetarian , 
132.Bălănescu Mariana  ,  figuran ,  seer , vegetarian , 
132.Barbu Ileana  ,  figuran ,  seer , flexitarian , 
132.Bordea Andrei  ,  figuran ,  human , anything , 
132.Bîrloiu Benedict  ,  figuran ,  seer , vegetarian , 
132.Breban Damian  ,  figuran ,  mermaid , vegetarian , 
132.Bărboianu Loredana  ,  figuran ,  seer , vegetarian , 
132.Barcianu  Georgeta  ,  figuran ,  seer , vegetarian , 
132.Andone Luciana  ,  figuran ,  human , anything , 
132.Brumaru Lazar  ,  figuran ,  seer , vegetarian , 
132.Budescu Liliana  ,  figuran ,  seer , anything , 
132.Bercea Doru  ,  figuran ,  werewolf , vegetarian , 
132.Brânzeu Luminita  ,  figuran ,  mermaid , vegetarian , 
132.Adamescu Manuel  ,  figuran ,  mermaid , vegetarian , 
132.Aman Anica  ,  figuran ,  human , flexitarian , 
132.Bercu Lucretiu  ,  figuran ,  werewolf , vegetarian , 
132.Barbu Horia  ,  figuran ,  mermaid , anything , 
132.Andone Manuela  ,  figuran ,  werewolf , flexitarian , 
132.Balanici Norbert  ,  figuran ,  mermaid , vegetarian , 
132.Bârloiu Emilian  ,  figuran ,  mermaid , anything , 
132.Arnautu Ciprian  ,  figuran ,  seer , flexitarian , 
132.Bereș Nicolae  ,  figuran ,  werewolf , vegetarian , 
132.Baghiu Serban  ,  figuran ,  human , vegetarian , 
132.Valisescu Dimitrie  ,  figuran ,  vampire , vegetarian , 
132.Baicu Leon  ,  figuran ,  seer , vegetarian , 
132.Agârbiceanu Cornel  ,  figuran ,  werewolf , anything , 
132.Brâncoveanu  Benedict  ,  figuran ,  werewolf , flexitarian , 
132.Boteanu Carmen  ,  figuran ,  seer , anything , 
132.Budeanu Stefan  ,  figuran ,  seer , vegetarian , 
132.Argetoianu Eduard  ,  figuran ,  mermaid , flexitarian , 
132.Berindei  Augustina  ,  figuran ,  seer , anything , 
132.Bosânceanu Andreea  ,  figuran ,  seer , flexitarian , 
132.Botnaru Teodor  ,  figuran ,  seer , anything , 
132.Bănică Teodosie  ,  figuran ,  werewolf , flexitarian , 
132.Becșenescu Magdalena  ,  figuran ,  mermaid , anything , 
132.Blaga  Leon  ,  figuran ,  werewolf , flexitarian , 
132.Badea Ilie  ,  figuran ,  werewolf , anything , 
132.Bizău Grigore  ,  figuran ,  mermaid , vegetarian , 
132.Brateș Marian  ,  figuran ,  human , anything , 
132.Badea Eugen  ,  figuran ,  vampire , vegetarian , 
132.Băloșescu Cristofor  ,  figuran ,  vampire , flexitarian , 
132.Bacalbașa Lucretia  ,  figuran ,  mermaid , anything , 
132.Antonescu Cristina  ,  figuran ,  werewolf , vegetarian , 
132.Baconsky Felicia  ,  figuran ,  mermaid , vegetarian , 
132.Bădescu Matei  ,  figuran ,  werewolf , vegetarian , 
132.Bizău Cezar  ,  figuran ,  seer , anything , 
132.Brudașcu Alexie  ,  figuran ,  seer , flexitarian , 
132.Brătescu Marilena  ,  figuran ,  werewolf , flexitarian , 
132.Boteanu Decebal  ,  figuran ,  mermaid , flexitarian , 
132.Negoita Ion  ,  figuran ,  seer , vegetarian , 
132.Buhagiar Zahari  ,  figuran ,  werewolf , flexitarian , 
132.Budescu Antoaneta  ,  figuran ,  werewolf , flexitarian , 
132.Botezan Nicolae  ,  figuran ,  mermaid , vegetarian , 
132.Bărbuceanu Augustina  ,  figuran ,  mermaid , anything , 
132.Albu  Doina  ,  figuran ,  mermaid , vegetarian , 
132.Berghianu Nicolai  ,  figuran ,  seer , flexitarian , 
132.Bacalbașa Camelia  ,  figuran ,  human , anything , 
132.Andone Dimitrie  ,  figuran ,  human , vegetarian , 
132.Barzin Geta  ,  figuran ,  werewolf , anything , 
132.Bărbuceanu Lidia  ,  figuran ,  mermaid , flexitarian , 
132.Bălănescu Magdalena  ,  figuran ,  human , flexitarian , 
132.Bucurescu Haralambie  ,  figuran ,  vampire , flexitarian , 
132.Alexandrescu Cristian  ,  figuran ,  mermaid , flexitarian , 
132.Belimace Mihaela  ,  figuran ,  werewolf , anything , 
132.Brănescu Alin  ,  figuran ,  human , vegetarian , 
132.Anton  Matei  ,  figuran ,  werewolf , flexitarian , 
132.Albu  Luminita  ,  figuran ,  seer , vegetarian , 
132.Brânzeu Fanurie  ,  figuran ,  vampire , flexitarian , 
132.Apostol Vladimir  ,  figuran ,  human , anything , 
132.Buia Vitalie  ,  figuran ,  mermaid , vegetarian , 
132.Anghel Carmen  ,  figuran ,  werewolf , anything , 
132.Apostu Anca  ,  figuran ,  werewolf , anything , 
132.Bizău Fanurie  ,  figuran ,  werewolf , vegetarian , 
132.Botnaru Vitalie  ,  figuran ,  human , flexitarian , 
132.Baciu Cristina  ,  figuran ,  seer , anything , 
132.Boteanu Emil  ,  figuran ,  human , anything , 
132.Brâncoveanu  Felix  ,  figuran ,  seer , flexitarian , 
132.Borăscu Stelian  ,  figuran ,  werewolf , anything , 
132.Budeanu Diana  ,  figuran ,  werewolf , flexitarian , 
132.Baicu Ioachim  ,  figuran ,  vampire , vegetarian , 
132.Balauru Anton  ,  figuran ,  mermaid , vegetarian , 
132.Bacalbașa David  ,  figuran ,  human , vegetarian , 
132.Brateș Andrei  ,  figuran ,  mermaid , vegetarian , 
132.Botnaru Damian  ,  figuran ,  mermaid , anything , 
132.Apetrei Dan  ,  figuran ,  seer , vegetarian , 
132.Andone Dumitru  ,  figuran ,  mermaid , vegetarian , 
132.Bozga Barbu  ,  figuran ,  seer , flexitarian , 
132.Bădărău Stefan  ,  figuran ,  mermaid , vegetarian , 
132.Becali Laurentiu  ,  figuran ,  human , flexitarian , 
132.Bănățeanu Ghita  ,  figuran ,  vampire , anything , 
132.Bazon Emil  ,  figuran ,  seer , flexitarian , 
132.Barna Constanta  ,  figuran ,  mermaid , flexitarian , 
132.Baconsky Diana  ,  figuran ,  werewolf , flexitarian , 
132.Benga Oana  ,  figuran ,  vampire , flexitarian , 
132.Stanescu Stelian  ,  figuran ,  werewolf , vegetarian , 
132.Bozgă Neculai  ,  figuran ,  vampire , vegetarian , 
132.Alexandrescu Ion  ,  figuran ,  mermaid , anything , 
132.Bercu Valeriu  ,  figuran ,  werewolf , anything , 
132.Bonciu Marian  ,  figuran ,  seer , anything , 
132.Bodnăraș Mihaela  ,  figuran ,  vampire , anything , 
132.Bercu Emilian  ,  figuran ,  human , flexitarian , 
132.Botezan Luchian  ,  figuran ,  mermaid , anything , 
132.Alexandrescu Luciana  ,  figuran ,  mermaid , anything , 
132.Badea Aurelia  ,  figuran ,  mermaid , anything , 
132.Balauru Ioachim  ,  figuran ,  mermaid , flexitarian , 
132.Brateș Stefan  ,  figuran ,  seer , anything , 
132.Balanici Ilie  ,  figuran ,  seer , vegetarian , 
132.Georgescu Anca  ,  figuran ,  seer , flexitarian , 
132.Stanescu Dionisie  ,  figuran ,  mermaid , vegetarian , 
132.Albu  Matei  ,  figuran ,  vampire , anything , 
132.Adamescu Ciprian  ,  figuran ,  human , anything , 
132.Bozga Fanurie  ,  figuran ,  mermaid , anything , 
132.Bârcă Ruxandra  ,  figuran ,  vampire , vegetarian , 
132.Bîrloiu Madalina  ,  figuran ,  mermaid , vegetarian , 
132.Athanasiu Eugen  ,  figuran ,  mermaid , anything , 
132.Brenduș Marin  ,  figuran ,  human , flexitarian , 
132.Bîrloiu Manuela  ,  figuran ,  werewolf , flexitarian , 
132.Bozga Iosif  ,  figuran ,  vampire , anything , 
132.Bucur  Basarab  ,  figuran ,  mermaid , vegetarian , 
132.Bîrlea Ancuta  ,  figuran ,  werewolf , flexitarian , 
132.Bizău Doru  ,  figuran ,  werewolf , flexitarian , 
132.Grigorescu Oana  ,  figuran ,  seer , vegetarian , 
132.Bercea Amalia  ,  figuran ,  werewolf , vegetarian , 
132.Bechet  Iolanda  ,  figuran ,  human , vegetarian , 
132.Agaparian Petre  ,  figuran ,  human , flexitarian , 
132.Anghelache Raluca  ,  figuran ,  vampire , flexitarian , 
132.Dumitrescu Elena  ,  figuran ,  werewolf , flexitarian , 
132.Brumaru Adelin  ,  figuran ,  human , flexitarian , 
132.Anghelache Gabriela  ,  figuran ,  werewolf , flexitarian , 
132.Balauru Petru  ,  figuran ,  mermaid , flexitarian , 
132.Bănățeanu Damian  ,  figuran ,  human , anything , 
132.Florescu Marius  ,  figuran ,  seer , vegetarian , 
132.Albu  Adriana  ,  figuran ,  human , flexitarian , 
132.Bălănescu Diana  ,  figuran ,  vampire , anything , 
132.Bosânceanu Costel  ,  figuran ,  seer , vegetarian , 
132.Alexa  Adelin  ,  figuran ,  seer , vegetarian , 
132.Barna Daniel  ,  figuran ,  seer , vegetarian , 
132.Budeanu Ioan  ,  figuran ,  vampire , anything , 
132.Beclean  Nectarie  ,  figuran ,  werewolf , anything , 
132.Andoni Serban  ,  figuran ,  mermaid , flexitarian , 
132.Begu Oana  ,  figuran ,  seer , anything , 
132.Bătrîneanu Luchian  ,  figuran ,  vampire , anything , 
132.Botnari Angelica  ,  figuran ,  werewolf , flexitarian , 
132.Bănulescu Ioachim  ,  figuran ,  seer , vegetarian , 
132.Barcianu  Lacramioara  ,  figuran ,  mermaid , vegetarian , 
132.Brumaru Ioachim  ,  figuran ,  vampire , vegetarian , 
132.Bechet  Damian  ,  figuran ,  human , anything , 
132.Adameșteanu Luiza  ,  figuran ,  seer , vegetarian , 
132.Bratu Anca  ,  figuran ,  seer , vegetarian , 
132.Albulescu Basarab  ,  figuran ,  human , flexitarian , 
132.Bălănescu Nicolae  ,  figuran ,  vampire , vegetarian , 
132.Basarabeanu Matei  ,  figuran ,  vampire , vegetarian , 
132.Bordea Diana  ,  figuran ,  werewolf , flexitarian , 
132.Botnaru Alexie  ,  figuran ,  mermaid , flexitarian , 
132.Stanescu Petre  ,  figuran ,  werewolf , flexitarian , 
132.Bădărău Sebastian  ,  figuran ,  seer , flexitarian , 
132.Brenduș Lidia  ,  figuran ,  mermaid , flexitarian , 
132.Botnari Ghita  ,  figuran ,  seer , vegetarian , 
132.Bîrloiu Diana  ,  figuran ,  werewolf , vegetarian , 
132.Antal Manuel  ,  figuran ,  werewolf , flexitarian , 
132.Bodescu Ioana  ,  figuran ,  mermaid , vegetarian , 
132.Brumaru Basarab  ,  figuran ,  mermaid , flexitarian , 
132.Baracci Marin  ,  figuran ,  werewolf , anything , 
132.Arnautu Bogdan  ,  figuran ,  seer , flexitarian , 
132.Bazon Stefan  ,  figuran ,  mermaid , vegetarian , 
132.Bozga Cristi  ,  figuran ,  mermaid , flexitarian , 
132.Bolliac Gratiela  ,  figuran ,  werewolf , vegetarian , 
132.Bereș Andreas  ,  figuran ,  seer , anything , 
132.Botean Oana  ,  figuran ,  vampire , flexitarian , 
132.Brumaru Basarab  ,  figuran ,  seer , vegetarian , 
132.Bărboianu Liliana  ,  figuran ,  vampire , flexitarian , 
132.Borăscu Anton  ,  figuran ,  mermaid , flexitarian , 
132.Averescu  Brandusa  ,  figuran ,  seer , flexitarian , 
132.Brânzeu Stefan  ,  figuran ,  human , anything , 
132.Andone Liviu  ,  figuran ,  seer , vegetarian , 
132.Bărbulescu Benedict  ,  figuran ,  mermaid , vegetarian , 
132.Bujo Dida  ,  figuran ,  werewolf , flexitarian , 
132.Grigorescu George  ,  figuran ,  mermaid , flexitarian , 
132.Anghelache Sorin  ,  figuran ,  seer , anything , 
132.Florescu Gabriel  ,  figuran ,  mermaid , vegetarian , 
132.Bodescu Florentina  ,  figuran ,  seer , anything , 
132.Bucurescu Basarab  ,  figuran ,  seer , anything , 
132.Bărbuceanu Nectarie  ,  figuran ,  werewolf , vegetarian , 
132.Bănulescu Stefan  ,  figuran ,  mermaid , anything , 
132.Bărboianu Grigore  ,  figuran ,  seer , anything , 
132.Bănică Ciprian  ,  figuran ,  seer , anything , 
132.Adoc Cazimir  ,  figuran ,  vampire , flexitarian , 
132.Bîrlea George  ,  figuran ,  werewolf , flexitarian , 
132.Barbu Razvan  ,  figuran ,  vampire , flexitarian , 
132.Alexa  Ileana  ,  figuran ,  human , anything , 
132.Avramescu Anisoara  ,  figuran ,  human , flexitarian , 
132.Brediceanu Marin  ,  figuran ,  mermaid , anything , 
132.Bogos Amalia  ,  figuran ,  seer , anything , 
132.Alifantis Eugen  ,  figuran ,  vampire , flexitarian , 
132.Argeșanu Andrei  ,  figuran ,  seer , anything , 
132.Adameșteanu Norbert  ,  figuran ,  seer , vegetarian , 
132.Bordea Mihaela  ,  figuran ,  werewolf , flexitarian , 
132.Botezan Gabriela  ,  figuran ,  mermaid , vegetarian , 
132.Bacalbașa Emilian  ,  figuran ,  werewolf , anything , 
132.Angelescu Cornel  ,  figuran ,  mermaid , vegetarian , 
132.Baconsky Geta  ,  figuran ,  vampire , flexitarian , 
132.Boștină Aurelia  ,  figuran ,  human , anything , 
132.Băsescu  Pavel  ,  figuran ,  werewolf , vegetarian , 
132.Băsescu  Alex  ,  figuran ,  human , flexitarian , 
132.Bodnăraș Andreas  ,  figuran ,  mermaid , vegetarian , 
132.Valisescu Cristina  ,  figuran ,  werewolf , vegetarian , 
132.Bujo Cristina  ,  figuran ,  seer , flexitarian , 
132.Banciu  Florina  ,  figuran ,  werewolf , anything , 
132.Breban Benone  ,  figuran ,  human , anything , 
132.Brătianu Denisa  ,  figuran ,  werewolf , flexitarian , 
132.Almășan Toma  ,  figuran ,  werewolf , vegetarian , 
132.Bazon Gabriel  ,  figuran ,  seer , vegetarian , 
132.Baconsky Denis  ,  figuran ,  vampire , anything , 
132.Brănescu Camelia  ,  figuran ,  seer , anything , 
132.Arnăutu Dragos  ,  figuran ,  seer , vegetarian , 
132.Brateș Luca  ,  figuran ,  mermaid , anything , 
132.Bălan Laurentiu  ,  figuran ,  vampire , vegetarian , 
132.Botnari Gelu  ,  figuran ,  vampire , anything , 
132.Basarabeanu Daniel  ,  figuran ,  werewolf , flexitarian , 
132.Baconschi Felicia  ,  figuran ,  seer , anything , 
132.Băloșescu Calin  ,  figuran ,  werewolf , vegetarian , 
132.Baconsky Gratiela  ,  figuran ,  vampire , flexitarian , 
132.Valisescu Mihai  ,  figuran ,  seer , anything , 
132.Bârsănescu Andrei  ,  figuran ,  mermaid , anything , 
132.Borcea Adelin  ,  figuran ,  mermaid , vegetarian , 
132.Bârcă Amalia  ,  figuran ,  human , flexitarian , 
132.Negoita Geta  ,  figuran ,  seer , flexitarian , 
132.Brănescu Liliana  ,  figuran ,  werewolf , anything , 
132.Adamescu Ion  ,  figuran ,  seer , vegetarian , 
132.Bârcă Filoftea  ,  figuran ,  mermaid , anything , 
132.Bărboianu Daniel  ,  figuran ,  human , flexitarian , 
132.Balauru Manuel  ,  figuran ,  human , vegetarian , 
132.Balanici Andrei  ,  figuran ,  seer , flexitarian , 
132.Angelescu Barbu  ,  figuran ,  mermaid , flexitarian , 
132.Buhagiar Razvan  ,  figuran ,  mermaid , flexitarian , 
132.Brașoveanu Iurie  ,  figuran ,  seer , anything , 
132.Bentoiu Daniel  ,  figuran ,  human , anything , 
132.Bozga Gratiela  ,  figuran ,  mermaid , vegetarian , 
132.Bogos Aurelia  ,  figuran ,  mermaid , anything , 
132.Bujo Aurelia  ,  figuran ,  vampire , vegetarian , 
132.Băloșescu Luminita  ,  figuran ,  human , vegetarian , 
132.Agîrbiceanu Aurelia  ,  figuran ,  vampire , vegetarian , 
132.Basarabeanu Nicolae  ,  figuran ,  human , vegetarian , 
132.Apostol Ana  ,  figuran ,  vampire , anything , 
132.Bădărău Lazar  ,  figuran ,  seer , vegetarian , 
132.Avramescu Cezar  ,  figuran ,  human , anything , 
132.Boteanu Marian  ,  figuran ,  mermaid , vegetarian , 
132.Adameșteanu Filip  ,  figuran ,  human , flexitarian , 
132.Bibescu Emilian  ,  figuran ,  werewolf , flexitarian , 
132.Bozgă Vasile  ,  figuran ,  werewolf , vegetarian , 
132.Angelescu Benone  ,  figuran ,  werewolf , anything , 
132.Adamache Emilian  ,  figuran ,  seer , anything , 
132.Arnăutu Matei  ,  figuran ,  mermaid , anything , 
132.Antal Luca  ,  figuran ,  mermaid , anything , 
132.Bega  Gelu  ,  figuran ,  seer , vegetarian , 
132.Brediceanu Aurelia  ,  figuran ,  werewolf , vegetarian , 
132.Bădulescu Diana  ,  figuran ,  human , anything , 
132.Brănescu Emilian  ,  figuran ,  human , flexitarian , 
132.Berindei  Anca  ,  figuran ,  seer , vegetarian , 
132.Brânzeu Alexie  ,  figuran ,  werewolf , vegetarian , 
