Tim Burton   ,   director (4 episodes 2022) ,   human  , vegetarian ,  flexitarian  , anything ,   , vegetarian , 
132.Buhagiar Zahari   ,   figuran ,   seer  , flexitarian ,  anything  , flexitarian ,   , flexitarian , 
132.Budescu Antoaneta   ,   figuran ,   werewolf  , flexitarian ,  vegetarian  , vegetarian ,   , vegetarian , 
132.Botezan Nicolae   ,   figuran ,   seer  , anything ,  vegetarian  , flexitarian ,   , vegetarian , 
132.Bărbuceanu Augustina   ,   figuran ,   mermaid  , vegetarian ,  anything  , vegetarian ,   , anything , 
132.Albu  Doina   ,   figuran ,   vampire  , vegetarian ,  vegetarian  , vegetarian ,   , anything , 
132.Berghianu Nicolai   ,   figuran ,   werewolf  , vegetarian ,  anything  , flexitarian ,   , vegetarian , 
132.Bacalbașa Camelia   ,   figuran ,   werewolf  , anything ,  flexitarian  , anything ,   , flexitarian , 
132.Andone Dimitrie   ,   figuran ,   werewolf  , flexitarian ,  flexitarian  , anything ,   , flexitarian , 
132.Barzin Geta   ,   figuran ,   werewolf  , vegetarian ,  anything  , flexitarian ,   , anything , 
132.Bărbuceanu Lidia   ,   figuran ,   werewolf  , anything ,  vegetarian  , anything ,   , vegetarian , 
132.Bălănescu Magdalena   ,   figuran ,   mermaid  , flexitarian ,  anything  , anything ,   , anything , 
132.Bucurescu Haralambie   ,   figuran ,   mermaid  , flexitarian ,  flexitarian  , anything ,   , flexitarian , 
132.Alexandrescu Cristian   ,   figuran ,   mermaid  , flexitarian ,  flexitarian  , anything ,   , vegetarian , 
132.Belimace Mihaela   ,   figuran ,   mermaid  , vegetarian ,  anything  , vegetarian ,   , flexitarian , 
132.Brănescu Alin   ,   figuran ,   werewolf  , flexitarian ,  anything  , anything ,   , anything , 
132.Anton  Matei   ,   figuran ,   vampire  , flexitarian ,  anything  , anything ,   , flexitarian , 
132.Albu  Luminita   ,   figuran ,   werewolf  , anything ,  vegetarian  , anything ,   , anything , 
132.Brânzeu Fanurie   ,   figuran ,   human  , flexitarian ,  flexitarian  , flexitarian ,   , anything , 
132.Apostol Vladimir   ,   figuran ,   vampire  , vegetarian ,  flexitarian  , anything ,   , anything , 
132.Buia Vitalie   ,   figuran ,   seer  , flexitarian ,  anything  , vegetarian ,   , vegetarian , 
132.Anghel Carmen   ,   figuran ,   seer  , anything ,  anything  , anything ,   , flexitarian , 
132.Apostu Anca   ,   figuran ,   human  , anything ,  anything  , flexitarian ,   , flexitarian , 
132.Bizău Fanurie   ,   figuran ,   vampire  , anything ,  anything  , flexitarian ,   , vegetarian , 
132.Botnaru Vitalie   ,   figuran ,   mermaid  , vegetarian ,  flexitarian  , anything ,   , anything , 
132.Baciu Cristina   ,   figuran ,   mermaid  , anything ,  anything  , flexitarian ,   , anything , 
132.Boteanu Emil   ,   figuran ,   mermaid  , anything ,  anything  , vegetarian ,   , anything , 
132.Brâncoveanu  Felix   ,   figuran ,   werewolf  , anything ,  anything  , vegetarian ,   , anything , 
132.Borăscu Stelian   ,   figuran ,   vampire  , anything ,  flexitarian  , anything ,   , anything , 
132.Budeanu Diana   ,   figuran ,   mermaid  , vegetarian ,  vegetarian  , flexitarian ,   , anything , 
132.Baicu Ioachim   ,   figuran ,   vampire  , vegetarian ,  anything  , vegetarian ,   , vegetarian , 
132.Balauru Anton   ,   figuran ,   mermaid  , anything ,  flexitarian  , vegetarian ,   , vegetarian , 
132.Bacalbașa David   ,   figuran ,   seer  , vegetarian ,  vegetarian  , vegetarian ,   , anything , 
132.Brateș Andrei   ,   figuran ,   seer  , anything ,  flexitarian  , vegetarian ,   , vegetarian , 
132.Botnaru Damian   ,   figuran ,   werewolf  , flexitarian ,  anything  , flexitarian ,   , flexitarian , 
132.Apetrei Dan   ,   figuran ,   vampire  , flexitarian ,  vegetarian  , flexitarian ,   , anything , 
132.Andone Dumitru   ,   figuran ,   human  , flexitarian ,  anything  , flexitarian ,   , vegetarian , 
132.Bozga Barbu   ,   figuran ,   human  , anything ,  anything  , anything ,   , anything , 
132.Bădărău Stefan   ,   figuran ,   werewolf  , anything ,  anything  , vegetarian ,   , vegetarian , 
132.Becali Laurentiu   ,   figuran ,   vampire  , anything ,  anything  , vegetarian ,   , anything , 
132.Bănățeanu Ghita   ,   figuran ,   seer  , anything ,  vegetarian  , anything ,   , flexitarian , 
132.Bazon Emil   ,   figuran ,   vampire  , vegetarian ,  flexitarian  , vegetarian ,   , anything , 
132.Barna Constanta   ,   figuran ,   vampire  , anything ,  flexitarian  , flexitarian ,   , vegetarian , 
132.Baconsky Diana   ,   figuran ,   vampire  , vegetarian ,  anything  , flexitarian ,   , flexitarian , 
132.Benga Oana   ,   figuran ,   vampire  , flexitarian ,  vegetarian  , vegetarian ,   , flexitarian , 
132.Stanescu Stelian   ,   figuran ,   human  , vegetarian ,  anything  , anything ,   , vegetarian , 
132.Bozgă Neculai   ,   figuran ,   seer  , flexitarian ,  anything  , flexitarian ,   , vegetarian , 
132.Alexandrescu Ion   ,   figuran ,   werewolf  , vegetarian ,  flexitarian  , flexitarian ,   , anything , 
132.Bercu Valeriu   ,   figuran ,   seer  , vegetarian ,  flexitarian  , flexitarian ,   , vegetarian , 
132.Bonciu Marian   ,   figuran ,   werewolf  , flexitarian ,  anything  , anything ,   , anything , 
132.Bodnăraș Mihaela   ,   figuran ,   werewolf  , anything ,  flexitarian  , vegetarian ,   , anything , 
132.Bercu Emilian   ,   figuran ,   werewolf  , anything ,  vegetarian  , anything ,   , anything , 
132.Botezan Luchian   ,   figuran ,   vampire  , anything ,  anything  , anything ,   , anything , 
132.Alexandrescu Luciana   ,   figuran ,   vampire  , vegetarian ,  flexitarian  , anything ,   , flexitarian , 
132.Badea Aurelia   ,   figuran ,   werewolf  , vegetarian ,  flexitarian  , anything ,   , anything , 
132.Balauru Ioachim   ,   figuran ,   mermaid  , vegetarian ,  anything  , vegetarian ,   , anything , 
132.Brateș Stefan   ,   figuran ,   werewolf  , flexitarian ,  anything  , anything ,   , anything , 
132.Balanici Ilie   ,   figuran ,   werewolf  , flexitarian ,  anything  , flexitarian ,   , anything , 
132.Georgescu Anca   ,   figuran ,   werewolf  , flexitarian ,  flexitarian  , anything ,   , flexitarian , 
132.Stanescu Dionisie   ,   figuran ,   mermaid  , vegetarian ,  flexitarian  , flexitarian ,   , flexitarian , 
132.Albu  Matei   ,   figuran ,   vampire  , anything ,  vegetarian  , anything ,   , anything , 
132.Adamescu Ciprian   ,   figuran ,   werewolf  , anything ,  anything  , flexitarian ,   , flexitarian , 
132.Bozga Fanurie   ,   figuran ,   mermaid  , vegetarian ,  anything  , flexitarian ,   , flexitarian , 
132.Bârcă Ruxandra   ,   figuran ,   human  , vegetarian ,  vegetarian  , vegetarian ,   , anything , 
132.Bîrloiu Madalina   ,   figuran ,   vampire  , anything ,  anything  , anything ,   , flexitarian , 
132.Athanasiu Eugen   ,   figuran ,   werewolf  , vegetarian ,  vegetarian  , vegetarian ,   , vegetarian , 
132.Brenduș Marin   ,   figuran ,   vampire  , vegetarian ,  anything  , anything ,   , vegetarian , 
132.Bîrloiu Manuela   ,   figuran ,   human  , flexitarian ,  flexitarian  , anything ,   , anything , 
132.Bozga Iosif   ,   figuran ,   mermaid  , vegetarian ,  anything  , anything ,   , flexitarian , 
132.Bucur  Basarab   ,   figuran ,   mermaid  , vegetarian ,  vegetarian  , vegetarian ,   , flexitarian , 
132.Bîrlea Ancuta   ,   figuran ,   werewolf  , anything ,  flexitarian  , vegetarian ,   , flexitarian , 
132.Bizău Doru   ,   figuran ,   vampire  , flexitarian ,  flexitarian  , vegetarian ,   , vegetarian , 
132.Grigorescu Oana   ,   figuran ,   vampire  , vegetarian ,  anything  , flexitarian ,   , anything , 
132.Bercea Amalia   ,   figuran ,   human  , vegetarian ,  flexitarian  , vegetarian ,   , flexitarian , 
132.Bechet  Iolanda   ,   figuran ,   werewolf  , anything ,  vegetarian  , vegetarian ,   , flexitarian , 
132.Agaparian Petre   ,   figuran ,   werewolf  , anything ,  vegetarian  , flexitarian ,   , vegetarian , 
132.Anghelache Raluca   ,   figuran ,   mermaid  , vegetarian ,  flexitarian  , anything ,   , flexitarian , 
132.Dumitrescu Elena   ,   figuran ,   mermaid  , anything ,  flexitarian  , flexitarian ,   , flexitarian , 
132.Brumaru Adelin   ,   figuran ,   human  , flexitarian ,  vegetarian  , vegetarian ,   , flexitarian , 
132.Anghelache Gabriela   ,   figuran ,   seer  , flexitarian ,  vegetarian  , vegetarian ,   , flexitarian , 
132.Balauru Petru   ,   figuran ,   werewolf  , flexitarian ,  flexitarian  , flexitarian ,   , anything , 
132.Bănățeanu Damian   ,   figuran ,   seer  , vegetarian ,  flexitarian  , vegetarian ,   , vegetarian , 
132.Florescu Marius   ,   figuran ,   vampire  , flexitarian ,  anything  , anything ,   , anything , 
132.Albu  Adriana   ,   figuran ,   mermaid  , anything ,  flexitarian  , anything ,   , vegetarian , 
132.Bălănescu Diana   ,   figuran ,   human  , anything ,  flexitarian  , vegetarian ,   , flexitarian , 
132.Bosânceanu Costel   ,   figuran ,   werewolf  , flexitarian ,  flexitarian  , vegetarian ,   , anything , 
132.Alexa  Adelin   ,   figuran ,   mermaid  , anything ,  anything  , anything ,   , vegetarian , 
132.Barna Daniel   ,   figuran ,   vampire  , flexitarian ,  vegetarian  , flexitarian ,   , anything , 
132.Budeanu Ioan   ,   figuran ,   vampire  , anything ,  flexitarian  , flexitarian ,   , vegetarian , 
132.Beclean  Nectarie   ,   figuran ,   human  , anything ,  flexitarian  , vegetarian ,   , flexitarian , 
132.Andoni Serban   ,   figuran ,   vampire  , flexitarian ,  vegetarian  , anything ,   , flexitarian , 
132.Begu Oana   ,   figuran ,   vampire  , flexitarian ,  flexitarian  , vegetarian ,   , flexitarian , 
132.Bătrîneanu Luchian   ,   figuran ,   vampire  , anything ,  anything  , anything ,   , anything , 
132.Botnari Angelica   ,   figuran ,   werewolf  , vegetarian ,  flexitarian  , anything ,   , vegetarian , 
132.Bănulescu Ioachim   ,   figuran ,   human  , vegetarian ,  vegetarian  , anything ,   , flexitarian , 
132.Barcianu  Lacramioara   ,   figuran ,   werewolf  , vegetarian ,  flexitarian  , flexitarian ,   , vegetarian , 
132.Brumaru Ioachim   ,   figuran ,   seer  , flexitarian ,  flexitarian  , anything ,   , anything , 
132.Bechet  Damian   ,   figuran ,   werewolf  , anything ,  vegetarian  , flexitarian ,   , anything , 
132.Adameșteanu Luiza   ,   figuran ,   seer  , flexitarian ,  flexitarian  , anything ,   , anything , 
132.Bratu Anca   ,   figuran ,   vampire  , vegetarian ,  anything  , anything ,   , flexitarian , 
132.Albulescu Basarab   ,   figuran ,   seer  , vegetarian ,  flexitarian  , flexitarian ,   , flexitarian , 
132.Bălănescu Nicolae   ,   figuran ,   werewolf  , anything ,  flexitarian  , vegetarian ,   , vegetarian , 
132.Basarabeanu Matei   ,   figuran ,   mermaid  , flexitarian ,  flexitarian  , vegetarian ,   , anything , 
132.Bordea Diana   ,   figuran ,   seer  , vegetarian ,  flexitarian  , flexitarian ,   , vegetarian , 
132.Botnaru Alexie   ,   figuran ,   vampire  , flexitarian ,  vegetarian  , vegetarian ,   , flexitarian , 
132.Stanescu Petre   ,   figuran ,   human  , vegetarian ,  anything  , vegetarian ,   , vegetarian , 
132.Bădărău Sebastian   ,   figuran ,   vampire  , flexitarian ,  vegetarian  , anything ,   , vegetarian , 
132.Brenduș Lidia   ,   figuran ,   vampire  , anything ,  anything  , flexitarian ,   , anything , 
132.Botnari Ghita   ,   figuran ,   human  , vegetarian ,  flexitarian  , flexitarian ,   , vegetarian , 
132.Bîrloiu Diana   ,   figuran ,   human  , vegetarian ,  flexitarian  , anything ,   , vegetarian , 
132.Antal Manuel   ,   figuran ,   seer  , anything ,  flexitarian  , vegetarian ,   , anything , 
132.Bodescu Ioana   ,   figuran ,   vampire  , flexitarian ,  vegetarian  , vegetarian ,   , flexitarian , 
132.Brumaru Basarab   ,   figuran ,   werewolf  , anything ,  vegetarian  , anything ,   , vegetarian , 
132.Baracci Marin   ,   figuran ,   seer  , vegetarian ,  flexitarian  , flexitarian ,   , anything , 
132.Arnautu Bogdan   ,   figuran ,   mermaid  , anything ,  vegetarian  , flexitarian ,   , vegetarian , 
132.Bazon Stefan   ,   figuran ,   werewolf  , vegetarian ,  anything  , anything ,   , flexitarian , 
132.Bozga Cristi   ,   figuran ,   vampire  , anything ,  vegetarian  , flexitarian ,   , vegetarian , 
132.Bolliac Gratiela   ,   figuran ,   mermaid  , vegetarian ,  vegetarian  , anything ,   , vegetarian , 
132.Bereș Andreas   ,   figuran ,   mermaid  , flexitarian ,  vegetarian  , anything ,   , vegetarian , 
132.Botean Oana   ,   figuran ,   vampire  , anything ,  vegetarian  , flexitarian ,   , vegetarian , 
132.Brumaru Basarab   ,   figuran ,   seer  , vegetarian ,  anything  , flexitarian ,   , anything , 
132.Bărboianu Liliana   ,   figuran ,   werewolf  , flexitarian ,  flexitarian  , flexitarian ,   , flexitarian , 
132.Borăscu Anton   ,   figuran ,   seer  , flexitarian ,  anything  , anything ,   , flexitarian , 
132.Averescu  Brandusa   ,   figuran ,   seer  , flexitarian ,  vegetarian  , vegetarian ,   , flexitarian , 
132.Brânzeu Stefan   ,   figuran ,   seer  , flexitarian ,  vegetarian  , vegetarian ,   , anything , 
132.Andone Liviu   ,   figuran ,   human  , anything ,  flexitarian  , anything ,   , vegetarian , 
132.Bărbulescu Benedict   ,   figuran ,   vampire  , flexitarian ,  vegetarian  , flexitarian ,   , vegetarian , 
132.Bujo Dida   ,   figuran ,   werewolf  , vegetarian ,  anything  , anything ,   , anything , 
132.Grigorescu George   ,   figuran ,   vampire  , anything ,  anything  , flexitarian ,   , vegetarian , 
132.Anghelache Sorin   ,   figuran ,   vampire  , vegetarian ,  anything  , anything ,   , vegetarian , 
132.Florescu Gabriel   ,   figuran ,   seer  , flexitarian ,  anything  , flexitarian ,   , anything , 
132.Bodescu Florentina   ,   figuran ,   human  , anything ,  flexitarian  , vegetarian ,   , anything , 
132.Bucurescu Basarab   ,   figuran ,   werewolf  , flexitarian ,  flexitarian  , anything ,   , flexitarian , 
132.Bărbuceanu Nectarie   ,   figuran ,   vampire  , vegetarian ,  anything  , flexitarian ,   , anything , 
132.Bănulescu Stefan   ,   figuran ,   human  , anything ,  flexitarian  , flexitarian ,   , flexitarian , 
132.Bărboianu Grigore   ,   figuran ,   werewolf  , vegetarian ,  anything  , anything ,   , vegetarian , 
132.Bănică Ciprian   ,   figuran ,   werewolf  , flexitarian ,  flexitarian  , flexitarian ,   , anything , 
132.Adoc Cazimir   ,   figuran ,   human  , anything ,  anything  , vegetarian ,   , vegetarian , 
132.Bîrlea George   ,   figuran ,   werewolf  , vegetarian ,  vegetarian  , vegetarian ,   , vegetarian , 
132.Barbu Razvan   ,   figuran ,   vampire  , flexitarian ,  flexitarian  , flexitarian ,   , vegetarian , 
132.Alexa  Ileana   ,   figuran ,   human  , flexitarian ,  flexitarian  , flexitarian ,   , flexitarian , 
132.Avramescu Anisoara   ,   figuran ,   vampire  , anything ,  vegetarian  , flexitarian ,   , vegetarian , 
132.Brediceanu Marin   ,   figuran ,   seer  , flexitarian ,  vegetarian  , vegetarian ,   , vegetarian , 
132.Bogos Amalia   ,   figuran ,   seer  , flexitarian ,  vegetarian  , anything ,   , anything , 
132.Alifantis Eugen   ,   figuran ,   human  , anything ,  vegetarian  , vegetarian ,   , anything , 
132.Argeșanu Andrei   ,   figuran ,   seer  , flexitarian ,  anything  , vegetarian ,   , flexitarian , 
132.Adameșteanu Norbert   ,   figuran ,   mermaid  , vegetarian ,  vegetarian  , vegetarian ,   , flexitarian , 
132.Bordea Mihaela   ,   figuran ,   human  , flexitarian ,  anything  , vegetarian ,   , anything , 
132.Botezan Gabriela   ,   figuran ,   vampire  , vegetarian ,  flexitarian  , vegetarian ,   , vegetarian , 
132.Bacalbașa Emilian   ,   figuran ,   human  , flexitarian ,  flexitarian  , vegetarian ,   , anything , 
132.Angelescu Cornel   ,   figuran ,   seer  , flexitarian ,  anything  , vegetarian ,   , flexitarian , 
132.Baconsky Geta   ,   figuran ,   seer  , flexitarian ,  flexitarian  , anything ,   , vegetarian , 
132.Boștină Aurelia   ,   figuran ,   vampire  , anything ,  vegetarian  , anything ,   , anything , 
132.Băsescu  Pavel   ,   figuran ,   human  , anything ,  vegetarian  , flexitarian ,   , anything , 
132.Băsescu  Alex   ,   figuran ,   werewolf  , vegetarian ,  anything  , anything ,   , vegetarian , 
132.Bodnăraș Andreas   ,   figuran ,   seer  , vegetarian ,  anything  , anything ,   , anything , 
132.Valisescu Cristina   ,   figuran ,   mermaid  , anything ,  flexitarian  , anything ,   , vegetarian , 
132.Bujo Cristina   ,   figuran ,   seer  , anything ,  vegetarian  , anything ,   , flexitarian , 
132.Banciu  Florina   ,   figuran ,   vampire  , anything ,  anything  , anything ,   , vegetarian , 
132.Breban Benone   ,   figuran ,   werewolf  , vegetarian ,  flexitarian  , flexitarian ,   , flexitarian , 
132.Brătianu Denisa   ,   figuran ,   seer  , vegetarian ,  anything  , flexitarian ,   , flexitarian , 
132.Almășan Toma   ,   figuran ,   human  , vegetarian ,  vegetarian  , vegetarian ,   , anything , 
132.Bazon Gabriel   ,   figuran ,   seer  , flexitarian ,  vegetarian  , anything ,   , anything , 
132.Baconsky Denis   ,   figuran ,   vampire  , anything ,  anything  , vegetarian ,   , anything , 
132.Brănescu Camelia   ,   figuran ,   werewolf  , anything ,  vegetarian  , anything ,   , anything , 
132.Arnăutu Dragos   ,   figuran ,   werewolf  , anything ,  anything  , vegetarian ,   , anything , 
132.Brateș Luca   ,   figuran ,   werewolf  , vegetarian ,  anything  , vegetarian ,   , vegetarian , 
132.Bălan Laurentiu   ,   figuran ,   seer  , vegetarian ,  vegetarian  , vegetarian ,   , anything , 
132.Botnari Gelu   ,   figuran ,   werewolf  , vegetarian ,  anything  , flexitarian ,   , vegetarian , 
132.Basarabeanu Daniel   ,   figuran ,   human  , flexitarian ,  flexitarian  , anything ,   , anything , 
132.Baconschi Felicia   ,   figuran ,   seer  , vegetarian ,  anything  , flexitarian ,   , flexitarian , 
132.Băloșescu Calin   ,   figuran ,   seer  , vegetarian ,  flexitarian  , flexitarian ,   , anything , 
132.Baconsky Gratiela   ,   figuran ,   human  , vegetarian ,  anything  , flexitarian ,   , vegetarian , 
132.Valisescu Mihai   ,   figuran ,   human  , vegetarian ,  flexitarian  , vegetarian ,   , flexitarian , 
132.Bârsănescu Andrei   ,   figuran ,   human  , vegetarian ,  anything  , flexitarian ,   , vegetarian , 
132.Borcea Adelin   ,   figuran ,   mermaid  , flexitarian ,  vegetarian  , anything ,   , anything , 
132.Bârcă Amalia   ,   figuran ,   werewolf  , flexitarian ,  flexitarian  , anything ,   , vegetarian , 
132.Negoita Geta   ,   figuran ,   mermaid  , anything ,  anything  , flexitarian ,   , flexitarian , 
132.Brănescu Liliana   ,   figuran ,   human  , vegetarian ,  vegetarian  , anything ,   , vegetarian , 
132.Adamescu Ion   ,   figuran ,   mermaid  , flexitarian ,  anything  , anything ,   , vegetarian , 
132.Bârcă Filoftea   ,   figuran ,   human  , flexitarian ,  anything  , vegetarian ,   , vegetarian , 
132.Bărboianu Daniel   ,   figuran ,   werewolf  , vegetarian ,  vegetarian  , flexitarian ,   , anything , 
132.Balauru Manuel   ,   figuran ,   vampire  , flexitarian ,  anything  , anything ,   , flexitarian , 
132.Balanici Andrei   ,   figuran ,   human  , flexitarian ,  flexitarian  , vegetarian ,   , vegetarian , 
132.Angelescu Barbu   ,   figuran ,   mermaid  , flexitarian ,  flexitarian  , anything ,   , anything , 
132.Buhagiar Razvan   ,   figuran ,   seer  , vegetarian ,  anything  , vegetarian ,   , anything , 
132.Brașoveanu Iurie   ,   figuran ,   mermaid  , anything ,  flexitarian  , anything ,   , anything , 
132.Bentoiu Daniel   ,   figuran ,   werewolf  , vegetarian ,  vegetarian  , anything ,   , anything , 
132.Bozga Gratiela   ,   figuran ,   werewolf  , vegetarian ,  anything  , vegetarian ,   , anything , 
132.Bogos Aurelia   ,   figuran ,   mermaid  , anything ,  anything  , anything ,   , anything , 
132.Bujo Aurelia   ,   figuran ,   human  , vegetarian ,  vegetarian  , anything ,   , flexitarian , 
132.Băloșescu Luminita   ,   figuran ,   vampire  , vegetarian ,  vegetarian  , vegetarian ,   , vegetarian , 
132.Agîrbiceanu Aurelia   ,   figuran ,   mermaid  , flexitarian ,  vegetarian  , flexitarian ,   , vegetarian , 
132.Basarabeanu Nicolae   ,   figuran ,   seer  , flexitarian ,  flexitarian  , flexitarian ,   , flexitarian , 
132.Apostol Ana   ,   figuran ,   vampire  , vegetarian ,  vegetarian  , vegetarian ,   , flexitarian , 
132.Bădărău Lazar   ,   figuran ,   human  , vegetarian ,  vegetarian  , flexitarian ,   , vegetarian , 
132.Avramescu Cezar   ,   figuran ,   mermaid  , vegetarian ,  flexitarian  , flexitarian ,   , vegetarian , 
132.Boteanu Marian   ,   figuran ,   werewolf  , vegetarian ,  flexitarian  , vegetarian ,   , vegetarian , 
132.Adameșteanu Filip   ,   figuran ,   human  , flexitarian ,  flexitarian  , flexitarian ,   , flexitarian , 
132.Bibescu Emilian   ,   figuran ,   werewolf  , flexitarian ,  flexitarian  , flexitarian ,   , anything , 
132.Bozgă Vasile   ,   figuran ,   vampire  , anything ,  vegetarian  , anything ,   , flexitarian , 
132.Angelescu Benone   ,   figuran ,   mermaid  , anything ,  flexitarian  , flexitarian ,   , vegetarian , 
132.Adamache Emilian   ,   figuran ,   mermaid  , vegetarian ,  vegetarian  , flexitarian ,   , anything , 
132.Arnăutu Matei   ,   figuran ,   werewolf  , flexitarian ,  flexitarian  , anything ,   , anything , 
132.Antal Luca   ,   figuran ,   mermaid  , flexitarian ,  vegetarian  , vegetarian ,   , anything , 
132.Bega  Gelu   ,   figuran ,   mermaid  , flexitarian ,  flexitarian  , flexitarian ,   , flexitarian , 
132.Brediceanu Aurelia   ,   figuran ,   human  , flexitarian ,  vegetarian  , anything ,   , flexitarian , 
132.Bădulescu Diana   ,   figuran ,   werewolf  , anything ,  anything  , flexitarian ,   , anything , 
132.Brănescu Emilian   ,   figuran ,   mermaid  , flexitarian ,  anything  , flexitarian ,   , flexitarian , 
132.Berindei  Anca   ,   figuran ,   mermaid  , flexitarian ,  vegetarian  , vegetarian ,   , flexitarian , 
132.Brânzeu Alexie   ,   figuran ,   vampire  , vegetarian ,  anything  , flexitarian ,   , anything , 
132.Bătrîneanu Andreea   ,   figuran ,   seer  , vegetarian ,  flexitarian  , flexitarian ,   , flexitarian , 
132.Antonescu Mihai   ,   figuran ,   seer  , flexitarian ,  anything  , anything ,   , anything , 
132.Athanasiu Felicia   ,   figuran ,   seer  , flexitarian ,  vegetarian  , anything ,   , vegetarian , 
132.Brediceanu Florina   ,   figuran ,   mermaid  , flexitarian ,  flexitarian  , flexitarian ,   , flexitarian , 
132.Argetoianu Norbert   ,   figuran ,   vampire  , anything ,  flexitarian  , vegetarian ,   , vegetarian , 
132.Baciu Anisoara   ,   figuran ,   human  , anything ,  anything  , anything ,   , flexitarian , 
132.Botezan Teodosie   ,   figuran ,   werewolf  , flexitarian ,  anything  , anything ,   , vegetarian , 
132.Grigorescu Flavia   ,   figuran ,   mermaid  , anything ,  vegetarian  , anything ,   , anything , 
132.Berindei  Felicia   ,   figuran ,   seer  , anything ,  vegetarian  , vegetarian ,   , vegetarian , 
132.Anghel Leon   ,   figuran ,   werewolf  , vegetarian ,  anything  , anything ,   , vegetarian , 
132.Botnaru Paul   ,   figuran ,   mermaid  , vegetarian ,  vegetarian  , flexitarian ,   , anything , 
132.Athanasiu Augustina   ,   figuran ,   seer  , anything ,  flexitarian  , vegetarian ,   , anything , 
132.Bozga Ana   ,   figuran ,   werewolf  , anything ,  vegetarian  , vegetarian ,   , anything , 
132.Botezan Ilarie   ,   figuran ,   seer  , vegetarian ,  anything  , flexitarian ,   , anything , 
132.Bercea Anisoara   ,   figuran ,   seer  , vegetarian ,  vegetarian  , anything ,   , anything , 
132.Breban Vasile   ,   figuran ,   werewolf  , anything ,  flexitarian  , flexitarian ,   , vegetarian , 
132.Apostol Laurentiu   ,   figuran ,   vampire  , vegetarian ,  anything  , vegetarian ,   , flexitarian , 
132.Brătescu Anica   ,   figuran ,   vampire  , flexitarian ,  anything  , anything ,   , vegetarian , 
132.Alexi Adelin   ,   figuran ,   seer  , anything ,  flexitarian  , vegetarian ,   , anything , 
132.Ardelean Cezar   ,   figuran ,   human  , vegetarian ,  flexitarian  , flexitarian ,   , vegetarian , 
132.Anghelescu Maria   ,   figuran ,   seer  , vegetarian ,  flexitarian  , anything ,   , anything , 
132.Bejenaru Liviu   ,   figuran ,   vampire  , flexitarian ,  flexitarian  , anything ,   , flexitarian , 
132.Blaga  Pavel   ,   figuran ,   seer  , vegetarian ,  vegetarian  , anything ,   , flexitarian , 
132.Basarabeanu Ioan   ,   figuran ,   mermaid  , flexitarian ,  flexitarian  , flexitarian ,   , flexitarian , 
132.Antonescu Constanta   ,   figuran ,   vampire  , flexitarian ,  flexitarian  , vegetarian ,   , flexitarian , 
132.Bichineț Bujor   ,   figuran ,   seer  , anything ,  flexitarian  , anything ,   , vegetarian , 
132.Antal Adrian   ,   figuran ,   human  , vegetarian ,  flexitarian  , vegetarian ,   , flexitarian , 
132.Budeanu Mariana   ,   figuran ,   seer  , flexitarian ,  flexitarian  , vegetarian ,   , anything , 
132.Băsescu  Grigore   ,   figuran ,   seer  , vegetarian ,  flexitarian  , flexitarian ,   , vegetarian , 
132.Brediceanu Cornel   ,   figuran ,   vampire  , vegetarian ,  anything  , flexitarian ,   , anything , 
132.Botnari Cecilia   ,   figuran ,   human  , anything ,  anything  , vegetarian ,   , anything , 
132.Adameșteanu Denisa   ,   figuran ,   human  , anything ,  flexitarian  , anything ,   , anything , 
132.Athanasiu Luiza   ,   figuran ,   seer  , anything ,  vegetarian  , flexitarian ,   , vegetarian , 
132.Athanasiu Liviu   ,   figuran ,   mermaid  , flexitarian ,  vegetarian  , vegetarian ,   , vegetarian , 
132.Bălțat Diana   ,   figuran ,   human  , flexitarian ,  anything  , vegetarian ,   , flexitarian , 
132.Ardelean Martin   ,   figuran ,   human  , anything ,  flexitarian  , vegetarian ,   , flexitarian , 
132.Brătianu Felix   ,   figuran ,   vampire  , flexitarian ,  flexitarian  , flexitarian ,   , vegetarian , 
132.Valisescu Petre   ,   figuran ,   vampire  , flexitarian ,  vegetarian  , flexitarian ,   , anything , 
132.Brânzeu Leon   ,   figuran ,   seer  , anything ,  anything  , anything ,   , vegetarian , 
132.Popescu Lazar   ,   figuran ,   seer  , vegetarian ,  anything  , flexitarian ,   , vegetarian , 
132.Berghianu Laur   ,   figuran ,   human  , vegetarian ,  flexitarian  , anything ,   , anything , 
132.Brânzan Anghel   ,   figuran ,   seer  , flexitarian ,  flexitarian  , anything ,   , vegetarian , 
132.Bălăceanu Cosmin   ,   figuran ,   seer  , flexitarian ,  anything  , anything ,   , anything , 
132.Arnăuțoiu Luca   ,   figuran ,   vampire  , vegetarian ,  anything  , flexitarian ,   , vegetarian , 
132.Budeanu Oana   ,   figuran ,   human  , flexitarian ,  flexitarian  , vegetarian ,   , flexitarian , 
132.Brâncoveanu  Eduard   ,   figuran ,   werewolf  , flexitarian ,  flexitarian  , flexitarian ,   , vegetarian , 
132.Baghiu Anisoara   ,   figuran ,   mermaid  , anything ,  anything  , vegetarian ,   , anything , 
132.Anghelescu David   ,   figuran ,   seer  , flexitarian ,  flexitarian  , anything ,   , flexitarian , 
132.Antonescu Constantin   ,   figuran ,   seer  , vegetarian ,  anything  , anything ,   , anything , 
